
2025/03/27 (07:39:58) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/27 (07:39:58) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/27 (07:39:58) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/27 (07:39:58) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/27 (07:39:58) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/27 (07:39:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/27 (07:44:31) | ===> btop++ v.1.4.0
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/27 (07:44:31) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/27 (07:55:23) | ===> btop++ v.1.4.0
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/27 (07:55:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/27 (14:47:20) | ===> btop++ v.1.4.0
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get maximum GPU temperature, defaulting to 110°C: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get GPU utilization: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get GPU clock speed: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get PCIe TX throughput: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get VRAM clock speed: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get PCIe RX throughput: Not Supported
2025/03/27 (14:47:20) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2025/03/27 (15:44:44) | ===> btop++ v.1.4.0
2025/03/27 (15:44:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
